p53 	 NDMm 	 NDMst 	 PTEN 	 time 
100	100	100	100	0.0
100	100	99	100	0.0336
101	100	99	100	0.033999999999999996
101	100	98	100	0.0567
101	100	97	100	0.061
101	100	96	100	0.0636
101	99	96	100	0.0639
101	98	96	100	0.0801
101	97	96	100	0.1362
102	97	96	100	0.1427
103	97	96	100	0.1954
104	97	96	100	0.2176
104	96	96	100	0.271
104	96	95	100	0.2881
104	95	95	100	0.3307
104	95	94	100	0.36769999999999997
105	95	94	100	0.3973
105	94	94	100	0.41359999999999997
106	94	94	100	0.4175
106	93	94	100	0.494
106	92	94	100	0.5033
107	92	94	100	0.5066999999999999
108	92	94	100	0.5080999999999999
108	91	94	100	0.5214999999999999
108	90	94	100	0.5301999999999999
108	89	94	100	0.6128999999999999
108	88	94	100	0.6299999999999999
108	88	93	100	0.6327999999999999
108	87	93	100	0.6611999999999999
108	87	92	100	0.6753999999999999
108	86	92	100	0.7496999999999999
109	86	92	100	0.7836
109	85	92	100	0.7968999999999999
110	85	92	100	0.8682
111	85	92	100	0.9724999999999999
111	85	91	100	0.9775999999999999
111	85	90	100	0.9799999999999999
112	85	90	100	1.0642999999999998
113	85	90	100	1.0675999999999999
114	85	90	100	1.1377
114	85	89	100	1.16
114	85	88	100	1.2378
114	84	88	100	1.2725
115	84	88	100	1.3135999999999999
115	84	87	100	1.3711
116	84	87	100	1.373
116	83	87	100	1.3953
116	82	87	100	1.5228
117	82	87	100	1.5976
117	81	87	100	1.6314
118	81	87	100	1.6798
118	80	87	100	1.6855
119	80	87	100	1.7999
119	79	87	100	1.9474
119	79	86	100	1.9982
120	79	86	100	2.001
121	79	86	100	2.0092
121	79	85	100	2.0507999999999997
122	79	85	100	2.2386999999999997
122	79	84	100	2.2802999999999995
122	79	83	100	2.3358999999999996
123	79	83	100	2.3718999999999997
123	78	83	100	2.3941
123	78	82	100	2.4379999999999997
123	78	81	100	2.4482999999999997
123	78	80	100	2.4798999999999998
124	78	80	100	2.4978
124	78	79	100	2.5016999999999996
125	78	79	100	2.5537999999999994
126	78	79	100	2.5551999999999992
126	78	78	100	2.623499999999999
127	78	78	100	2.628799999999999
127	77	78	100	2.740699999999999
127	76	78	100	2.751499999999999
128	76	78	100	2.759099999999999
129	76	78	100	2.7936999999999994
129	76	77	100	2.803699999999999
129	76	76	100	2.904299999999999
130	76	76	100	2.9956999999999994
130	76	75	100	3.0869999999999993
130	75	75	100	3.120399999999999
130	75	74	100	3.148299999999999
130	74	74	100	3.182699999999999
130	73	74	100	3.200799999999999
130	73	73	100	3.238199999999999
130	73	72	100	3.340899999999999
130	73	71	100	3.369099999999999
131	73	71	100	3.3975999999999993
132	73	71	100	3.429099999999999
132	73	70	100	3.431599999999999
133	73	70	100	3.501399999999999
134	73	70	100	3.506599999999999
134	72	70	100	3.5182999999999987
134	72	69	100	3.537299999999999
134	71	69	100	3.5561999999999987
134	71	68	100	3.5885999999999987
135	71	68	100	3.5941999999999985
136	71	68	100	3.6451999999999987
136	70	68	100	3.7676999999999987
136	70	67	100	3.868999999999999
137	70	67	100	3.9349999999999987
138	70	67	100	3.9448999999999987
138	70	66	100	3.965199999999999
138	70	65	100	4.0074999999999985
138	69	65	100	4.039799999999999
138	69	64	100	4.054599999999999
139	69	64	100	4.063199999999999
140	69	64	100	4.0703
141	69	64	100	4.1785
142	69	64	100	4.180199999999999
143	69	64	100	4.246299999999999
143	68	64	100	4.2490999999999985
143	67	64	100	4.2818999999999985
144	67	64	100	4.2913999999999985
145	67	64	100	4.326899999999998
145	67	63	100	4.357899999999998
146	67	63	100	4.374799999999998
146	66	63	100	4.378399999999997
147	66	63	100	4.396699999999997
148	66	63	100	4.413899999999997
148	66	62	100	4.424599999999997
148	66	61	100	4.433299999999997
148	65	61	100	4.527699999999998
149	65	61	100	4.530899999999997
149	64	61	100	4.560999999999997
149	64	60	100	4.605399999999998
150	64	60	100	4.613699999999998
150	63	60	100	4.729199999999998
151	63	60	100	4.729599999999998
151	63	59	100	4.762599999999998
152	63	59	100	4.829299999999998
153	63	59	100	4.856099999999998
153	63	58	100	4.870699999999998
153	63	57	100	5.048499999999998
153	62	57	100	5.101499999999998
153	61	57	100	5.153399999999998
153	61	56	100	5.153999999999998
153	61	55	100	5.202799999999998
154	61	55	100	5.245799999999998
154	60	55	100	5.260199999999998
155	60	55	100	5.291099999999998
155	59	55	100	5.383899999999999
155	58	55	100	5.460099999999999
155	57	55	100	5.509299999999999
155	57	54	100	5.5554999999999986
155	56	54	100	5.5859999999999985
155	55	54	100	5.756199999999999
156	55	54	100	5.7574999999999985
156	54	54	100	5.788399999999998
157	54	54	100	5.8115999999999985
158	54	54	100	5.8386999999999984
158	53	54	100	5.8565999999999985
158	52	54	100	5.879499999999998
159	52	54	100	5.923399999999998
